Rk,Player,Pos,Team,Gms,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,PPG,Fantasy Points,

1,Andrew Luck,QB,IND,16,380,616,62,4761,8,40,16,97,64,263,4,3,21.9,366.74,
2,Aaron Rodgers,QB,GB,16,341,520,66,4381,8,38,5,112,43,269,6,2,22.1,359.14,
3,Russell Wilson,QB,SEA,16,285,452,63,3475,8,20,7,95,118,849,7,6,20.5,335.10,
4,Peyton Manning,QB,DEN,16,395,597,66,4727,8,39,15,102,24,-24,-1,0,19.5,327.68,
5,Drew Brees,QB,NO,16,456,659,69,4952,8,33,17,97,27,68,3,1,18.9,320.48,
6,Ben Roethlisberger,QB,PIT,16,408,608,67,4952,8,32,9,103,32,27,1,0,19.1,315.18,
7,Matt Ryan,QB,ATL,16,415,628,66,4694,8,28,14,94,29,145,5,0,17.8,298.26,
8,Ryan Tannehill,QB,MIA,16,392,590,66,4045,7,27,12,93,56,311,6,1,17.4,291.00,
9,Tom Brady,QB,NE,16,374,583,64,4109,7,33,9,97,36,57,2,0,17.4,287.06,
10,Philip Rivers,QB,LAC,16,379,570,67,4286,8,31,18,94,38,104,3,0,16.6,283.84,
11,Eli Manning,QB,NYG,16,379,601,63,4410,7,30,14,92,12,31,3,1,16.8,283.50,
12,Tony Romo,QB,DAL,15,304,435,70,3705,9,34,9,113,26,61,2,0,17.8,275.30,
13,Joe Flacco,QB,BAL,16,344,555,62,3986,7,27,12,91,39,70,2,2,16.4,274.44,
14,Jay Cutler,QB,CHI,15,370,561,66,3812,7,28,18,89,39,191,5,2,17.0,273.58,
15,Matthew Stafford,QB,DET,16,363,602,60,4257,7,22,12,86,43,93,2,2,15.7,263.58,
16,Cam Newton,QB,CAR,14,262,448,59,3127,7,18,12,82,103,539,5,5,17.8,260.98,
17,Colin Kaepernick,QB,SF,16,289,478,61,3369,7,19,10,86,105,641,6,1,15.7,260.86,
18,Andy Dalton,QB,CIN,16,309,482,64,3398,7,19,17,83,60,169,3,4,14.0,242.12,
19,Alex Smith,QB,KC,15,303,464,65,3265,7,18,6,93,49,254,5,1,14.7,226.00,
20,Derek Carr,QB,OAK,16,348,599,58,3270,6,21,12,77,30,87,3,0,12.0,203.50,
21,Teddy Bridgewater,QB,MIN,13,259,402,64,2919,7,14,12,85,47,209,4,1,13.8,191.66,
22,Ryan Fitzpatrick,QB,HOU,12,197,312,63,2483,8,17,8,95,50,184,4,2,15.0,187.72,
23,Kyle Orton,QB,BUF,12,287,447,64,3018,7,18,10,88,15,14,1,1,14.7,186.12,
24,Blake Bortles,QB,JAX,14,280,475,59,2907,6,11,17,70,56,419,8,0,12.0,185.18,
25,Brian Hoyer,QB,CLE,14,243,439,55,3335,8,12,13,77,25,32,1,0,11.2,169.60,
26,Geno Smith,QB,NYJ,14,219,367,60,2525,7,13,13,78,59,238,4,1,10.8,163.80,
27,Mark Sanchez,QB,PHI,9,198,309,64,2418,8,14,11,88,34,87,3,1,15.5,150.42,
28,Josh McCown,QB,TB,11,184,327,56,2206,7,11,14,70,25,127,5,3,11.5,140.94,
29,Nick Foles,QB,PHI,8,187,312,60,2163,7,13,10,81,16,68,4,0,14.9,129.32,
30,Austin Davis,QB,LAR,10,180,284,63,2001,7,12,9,85,16,36,2,0,10.8,116.64,
31,Carson Palmer,QB,ARI,6,141,224,63,1626,7,11,3,96,8,25,3,0,17.3,106.54,
32,Drew Stanton,QB,ARI,9,132,240,55,1711,7,7,5,79,25,63,3,0,10.5,99.74,
33,Kirk Cousins,QB,WAS,6,126,204,62,1710,8,10,9,86,7,20,3,0,14.7,97.40,
34,Shaun Hill,QB,LAR,9,145,229,63,1657,7,8,7,84,10,10,1,1,9.9,96.78,
35,Mike Glennon,QB,TB,6,117,203,58,1417,7,10,6,83,10,49,5,0,14.9,95.58,
36,Robert Griffin III,QB,WAS,9,147,214,69,1694,8,4,6,87,38,176,5,1,9.7,93.36,
37,Charlie Whitehurst,QB,TEN,7,105,185,57,1326,7,7,2,87,20,90,5,0,12.4,89.04,
38,Zach Mettenberger,QB,TEN,7,107,179,60,1412,8,8,7,83,5,4,1,0,10.1,77.88,
39,Jake Locker,QB,TEN,7,86,146,59,993,7,5,7,71,22,142,7,1,9.1,70.92,
40,Colt McCoy,QB,WAS,6,91,128,71,1057,8,4,3,96,16,66,4,1,10.5,65.88,
41,EJ Manuel,QB,BUF,5,76,131,58,838,6,5,3,80,16,52,3,1,11.7,61.72,
42,Derek Anderson,QB,CAR,6,65,97,67,701,7,5,0,105,8,24,3,0,8.4,50.44,
43,Michael Vick,QB,NYJ,10,64,121,53,604,5,3,2,68,26,153,6,0,4.3,45.46,
44,Chad Henne,QB,JAX,3,42,78,54,492,6,3,1,81,4,25,6,0,10.1,31.18,
45,Matt Cassel,QB,MIN,3,41,71,58,425,6,3,4,66,7,19,3,0,7.6,26.90,
46,Ryan Lindley,QB,ARI,3,45,93,48,562,6,2,4,57,0,0,0,0,7.5,26.48,
47,Case Keenum,QB,LAR,2,45,77,58,435,6,2,2,72,10,35,4,0,11.4,24.90,
48,Brandon Weeden,QB,DAL,6,24,41,59,303,7,3,2,86,6,-1,0,0,3.3,22.02,
49,Ryan Mallett,QB,HOU,3,41,75,55,400,5,2,2,68,6,-2,0,0,6.6,21.80,
50,Matt Hasselbeck,QB,IND,4,30,44,68,301,7,2,0,103,8,-11,-1,0,4.2,16.94,
