Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,ARI,5,1,20.00,49.00,40.8,205.00,4.2,2.00,3.00,41.62,3.00,-3.00,-1,0.00,9.90,
2015,ARI,7,0,11.00,25.00,44.0,104.00,4.2,0.00,2.00,22.75,13.00,-13.00,-1,0.00,-1.14,
2014,ARI,9,8,132.00,240.00,55.0,1711.00,7.1,7.00,5.00,78.66,25.00,63.00,2.5,0.00,94.74,
2013,ARI,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
2012,IND,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
2011,DET,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
2010,DET,6,3,69.00,119.00,58.0,780.00,6.6,4.00,3.00,78.41,18.00,113.00,6.3,1.00,56.50,
2009,DET,3,1,26.00,51.00,51.0,259.00,5.1,0.00,6.00,26.14,9.00,33.00,3.7,1.00,5.66,
2008,DET,3,0,9.00,17.00,52.9,119.00,7,1.00,0.00,94.98,3.00,20.00,6.7,0.00,10.76,
