Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,BUF,15,15,270.00,437.00,61.8,3023.00,6.9,17.00,6.00,89.64,95.00,580.00,6.1,6.00,270.92,
2015,BUF,14,14,242.00,380.00,63.7,3035.00,8.0,20.00,6.00,99.40,104.00,568.00,5.5,4.00,270.60,
2014,BAL,1,0,0.00,0.00,0,0.00,0,0.00,0.00,0,4.00,-3.00,-0.8,0.00,-0.30,
2013,BAL,3,0,1.00,5.00,20.0,2.00,0.4,0.00,1.00,0,8.00,64.00,8,0.00,5.08,
2012,BAL,7,0,17.00,29.00,58.6,179.00,6.2,0.00,1.00,62.28,14.00,73.00,5.2,1.00,18.46,
2011,BAL,3,0,1.00,1.00,100,18.00,18,0.00,0.00,118.75,1.00,2.00,2,0.00,0.92,
