Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,HOU,3,2,46.00,73.00,63.0,461.00,6.3,0.00,0.00,80.91,6.00,12.00,2,0.00,17.64,
2014,HOU,2,0,10.00,19.00,52.6,127.00,6.7,0.00,1.00,51.86,6.00,-6.00,-1,0.00,0.48,
