Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,WAS,16,16,406.00,606.00,67.0,4917.00,8.1,25.00,12.00,97.22,34.00,96.00,2.8,4.00,300.28,
2015,WAS,16,16,379.00,543.00,69.8,4166.00,7.7,29.00,11.00,101.58,26.00,48.00,1.8,5.00,291.44,
2014,WAS,6,5,126.00,204.00,61.8,1710.00,8.4,10.00,9.00,86.44,7.00,20.00,2.9,0.00,88.40,
2013,WAS,5,3,81.00,155.00,52.3,854.00,5.5,4.00,7.00,58.37,4.00,14.00,3.5,0.00,33.56,
2012,WAS,3,1,33.00,48.00,68.8,466.00,9.7,4.00,3.00,101.56,3.00,22.00,7.3,0.00,32.84,
