Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,IND,15,15,346.00,545.00,63.5,4240.00,7.8,31.00,13.00,96.43,64.00,341.00,5.3,2.00,307.70,
2015,IND,7,7,162.00,293.00,55.3,1881.00,6.4,15.00,12.00,74.91,33.00,196.00,5.9,0.00,128.84,
2014,IND,16,16,380.00,616.00,61.7,4761.00,7.7,40.00,16.00,96.52,64.00,263.00,4.1,3.00,350.74,
2013,IND,16,16,343.00,570.00,60.2,3822.00,6.7,23.00,9.00,87.04,63.00,377.00,6.0,4.00,292.58,
2012,IND,16,16,339.00,627.00,54.1,4374.00,7.0,23.00,18.00,76.47,62.00,255.00,4.1,5.00,276.46,
