Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,CHI,7,6,129.00,216.00,59.7,1611.00,7.5,8.00,14.00,68.27,7.00,2.00,0.3,0.00,70.84,
2015,ARI,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
2014,PHI,1,0,0.00,1.00,0,0.00,0,0.00,0.00,39.58,3.00,0.00,0,0.00,0.00,
2013,PHI,3,0,30.00,49.00,61.2,300.00,6.1,0.00,4.00,44.60,2.00,-2.00,-1,0.00,1.80,
