Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,OAK,15,15,356.00,559.00,63.7,3933.00,7.0,28.00,6.00,96.69,38.00,69.00,1.8,0.00,268.22,
2015,OAK,16,16,350.00,573.00,61.1,3987.00,7.0,32.00,13.00,91.14,34.00,138.00,4.1,0.00,269.28,
2014,OAK,16,16,348.00,599.00,58.1,3270.00,5.5,21.00,12.00,76.58,30.00,87.00,2.9,0.00,191.50,
