Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,CLE,5,4,87.00,147.00,59.2,886.00,6.0,2.00,3.00,72.55,31.00,190.00,6.1,2.00,66.44,
2015,WAS,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
2014,WAS,9,7,147.00,214.00,68.7,1694.00,7.9,4.00,6.00,86.86,38.00,176.00,4.6,1.00,87.36,
2013,WAS,13,13,274.00,456.00,60.1,3203.00,7.0,16.00,12.00,82.15,86.00,489.00,5.7,0.00,213.02,
2012,WAS,15,15,258.00,393.00,65.6,3200.00,8.1,20.00,5.00,102.38,120.00,815.00,6.8,7.00,317.50,
