Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,CHI,6,5,134.00,200.00,67.0,1445.00,7.2,6.00,0.00,98.02,7.00,-2.00,-0.3,0.00,79.60,
2015,HOU,11,9,224.00,369.00,60.7,2606.00,7.1,19.00,7.00,91.36,15.00,44.00,2.9,0.00,166.64,
2014,CLE,14,13,243.00,439.00,55.4,3335.00,7.6,12.00,13.00,76.64,25.00,32.00,1.3,0.00,156.60,
2013,CLE,3,3,57.00,96.00,59.4,615.00,6.4,5.00,3.00,82.60,6.00,16.00,2.7,0.00,40.20,
2012,PIT,2,1,30.00,53.00,56.6,330.00,6.2,1.00,2.00,65.76,1.00,6.00,6,0.00,13.80,
2011,NE,3,0,1.00,1.00,100,22.00,22,0.00,0.00,118.75,4.00,-3.00,-0.8,0.00,0.58,
2010,NE,5,0,7.00,15.00,46.7,122.00,8.1,1.00,1.00,69.31,10.00,-8.00,-0.8,0.00,6.08,
2009,NE,5,0,19.00,27.00,70.4,142.00,5.3,0.00,0.00,82.64,10.00,25.00,2.5,1.00,14.18,
