Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,MIN,15,15,395.00,552.00,71.6,3877.00,7.0,20.00,5.00,99.28,20.00,53.00,2.6,0.00,220.88,
2015,PHI,14,14,346.00,532.00,65.0,3725.00,7.0,19.00,14.00,86.40,26.00,39.00,1.5,0.00,194.90,
2013,LAR,7,7,159.00,262.00,60.7,1687.00,6.4,14.00,4.00,90.94,15.00,31.00,2.1,0.00,118.58,
2012,LAR,16,16,328.00,551.00,59.5,3702.00,6.7,21.00,13.00,82.56,37.00,127.00,3.4,1.00,230.78,
2011,LAR,10,10,190.00,356.00,53.4,2157.00,6.1,6.00,6.00,70.40,18.00,26.00,1.4,0.00,86.88,
2010,LAR,16,16,354.00,590.00,60.0,3512.00,6.0,18.00,15.00,76.46,27.00,63.00,2.3,1.00,190.78,
