Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,DET,16,16,388.00,594.00,65.3,4327.00,7.3,24.00,10.00,93.32,37.00,207.00,5.6,2.00,279.78,
2015,DET,16,16,398.00,592.00,67.2,4262.00,7.2,32.00,13.00,96.97,44.00,159.00,3.6,1.00,289.78,
2014,DET,16,16,363.00,602.00,60.3,4257.00,7.1,22.00,12.00,85.67,43.00,93.00,2.2,2.00,251.58,
2013,DET,16,16,371.00,634.00,58.5,4650.00,7.3,29.00,19.00,84.17,36.00,74.00,2.1,2.00,279.40,
2012,DET,16,16,435.00,727.00,59.8,4967.00,6.8,20.00,17.00,79.84,35.00,126.00,3.6,4.00,275.58,
2011,DET,16,16,421.00,663.00,63.5,5038.00,7.6,41.00,16.00,97.22,22.00,78.00,3.5,0.00,343.32,
2010,DET,3,3,57.00,96.00,59.4,535.00,5.6,6.00,1.00,91.28,4.00,11.00,2.8,1.00,50.50,
2009,DET,10,10,201.00,377.00,53.3,2267.00,6.0,13.00,20.00,60.96,20.00,108.00,5.4,2.00,125.48,
