Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,MIA,13,13,261.00,389.00,67.1,2995.00,7.7,19.00,12.00,93.50,39.00,164.00,4.2,1.00,190.20,
2015,MIA,16,16,363.00,586.00,61.9,4208.00,7.2,24.00,12.00,88.74,32.00,141.00,4.4,1.00,255.32,
2014,MIA,16,16,392.00,590.00,66.4,4045.00,6.9,27.00,12.00,92.80,56.00,311.00,5.6,1.00,278.50,
2013,MIA,16,16,355.00,588.00,60.4,3913.00,6.7,24.00,17.00,81.68,40.00,238.00,6.0,1.00,238.32,
2012,MIA,16,16,282.00,484.00,58.3,3294.00,6.8,12.00,13.00,76.07,49.00,211.00,4.3,2.00,182.86,
