Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,SF,6,5,91.00,160.00,56.9,925.00,5.8,5.00,6.00,68.36,40.00,173.00,4.3,2.00,72.70,
2015,SF,8,8,178.00,282.00,63.1,2031.00,7.2,10.00,7.00,86.17,32.00,185.00,5.8,1.00,129.74,
2014,SF,1,0,3.00,7.00,42.9,38.00,5.4,1.00,0.00,100.00,1.00,5.00,5,0.00,6.02,
2013,JAX,3,3,42.00,86.00,48.8,481.00,5.6,1.00,7.00,36.05,9.00,32.00,3.6,0.00,12.44,
2012,JAX,10,10,162.00,278.00,58.3,1662.00,6.0,9.00,6.00,77.35,18.00,56.00,3.1,0.00,94.08,
2011,JAX,15,14,210.00,413.00,50.8,2214.00,5.4,12.00,11.00,65.38,48.00,98.00,2.0,0.00,114.36,
