Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,CIN,16,16,364.00,563.00,64.7,4206.00,7.5,18.00,8.00,91.83,46.00,184.00,4,4.00,260.64,
2015,CIN,13,13,255.00,386.00,66.1,3250.00,8.4,25.00,7.00,106.25,57.00,142.00,2.5,3.00,244.20,
2014,CIN,16,16,309.00,482.00,64.1,3398.00,7.0,19.00,17.00,83.32,60.00,169.00,2.8,4.00,224.62,
2013,CIN,16,16,363.00,586.00,61.9,4296.00,7.3,33.00,20.00,88.80,61.00,183.00,3,2.00,288.14,
2012,CIN,16,16,329.00,528.00,62.3,3669.00,6.9,27.00,16.00,87.38,47.00,120.00,2.6,4.00,250.76,
2011,CIN,16,16,300.00,516.00,58.1,3398.00,6.6,20.00,13.00,80.39,37.00,152.00,4.1,1.00,207.12,
