Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,HOU,15,14,301.00,510.00,59.0,2957.00,5.8,15.00,16.00,72.16,30.00,131.00,4.4,2.00,168.78,
2015,DEN,8,7,170.00,275.00,61.8,1967.00,7.2,10.00,6.00,86.43,21.00,61.00,2.9,1.00,116.78,
2014,DEN,4,0,4.00,10.00,40.0,52.00,5.2,1.00,0.00,90.42,8.00,0.00,0,0.00,6.08,
2013,DEN,4,0,11.00,16.00,68.8,95.00,5.9,0.00,0.00,84.11,3.00,2.00,0.7,0.00,4.00,
2012,DEN,5,0,2.00,4.00,50.0,12.00,3,0.00,0.00,56.25,8.00,-13.00,-1.6,0.00,-0.82,
