Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,SEA,16,16,353.00,546.00,64.7,4219.00,7.7,21.00,11.00,92.58,72.00,259.00,3.6,1.00,268.06,
2015,SEA,16,16,329.00,483.00,68.1,4024.00,8.3,34.00,8.00,110.12,103.00,553.00,5.4,1.00,336.26,
2014,SEA,16,16,285.00,452.00,63.1,3475.00,7.7,20.00,7.00,94.96,118.00,849.00,7.2,6.00,327.60,
2013,SEA,16,16,257.00,407.00,63.1,3357.00,8.2,26.00,9.00,101.15,96.00,539.00,5.6,1.00,270.18,
2012,SEA,16,16,252.00,393.00,64.1,3118.00,7.9,26.00,10.00,100.03,94.00,489.00,5.2,4.00,275.62,
