Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,SF,12,11,196.00,332.00,59.0,2241.00,6.8,16.00,4.00,90.45,69.00,468.00,6.8,2.00,200.44,
2015,SF,9,8,144.00,244.00,59.0,1615.00,6.6,6.00,5.00,78.50,45.00,256.00,5.7,1.00,108.20,
2014,SF,16,16,289.00,478.00,60.5,3369.00,7.0,19.00,10.00,86.37,105.00,641.00,6.1,1.00,250.86,
2013,SF,16,16,243.00,416.00,58.4,3197.00,7.7,21.00,8.00,91.60,92.00,524.00,5.7,4.00,264.28,
2012,SF,13,7,136.00,218.00,62.4,1814.00,8.3,10.00,3.00,98.30,63.00,415.00,6.6,5.00,174.06,
2011,SF,3,0,3.00,5.00,60.0,35.00,7,0.00,0.00,81.25,2.00,-2.00,-1,0.00,1.20,
