Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,KC,3,1,36.00,55.00,65.5,410.00,7.5,3.00,0.00,105.87,4.00,-4.00,-1,0.00,28.00,
2015,LAR,11,11,190.00,337.00,56.4,2052.00,6.1,7.00,10.00,69.00,17.00,20.00,1.2,1.00,94.08,
2014,PHI,8,8,187.00,312.00,59.9,2163.00,6.9,13.00,10.00,81.45,16.00,68.00,4.2,0.00,119.32,
2013,PHI,13,10,203.00,317.00,64.0,2891.00,9.1,27.00,2.00,119.21,56.00,225.00,4.0,3.00,260.14,
2012,PHI,7,6,161.00,265.00,60.8,1699.00,6.4,6.00,5.00,79.11,11.00,42.00,3.8,1.00,86.16,
