Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,CAR,15,14,270.00,510.00,52.9,3509.00,6.9,19.00,14.00,75.85,90.00,359.00,4.0,5.00,254.26,
2015,CAR,16,16,296.00,495.00,59.8,3837.00,7.8,35.00,10.00,99.36,132.00,636.00,4.8,10.00,389.08,
2014,CAR,14,14,262.00,448.00,58.5,3127.00,7.0,18.00,12.00,82.13,103.00,539.00,5.2,5.00,248.98,
2013,CAR,16,16,292.00,473.00,61.7,3379.00,7.1,24.00,13.00,88.76,111.00,585.00,5.3,6.00,297.66,
2012,CAR,16,16,280.00,485.00,57.7,3869.00,8.0,19.00,12.00,86.18,127.00,741.00,5.8,8.00,323.46,
2011,CAR,16,16,310.00,517.00,60.0,4051.00,7.8,21.00,17.00,84.54,125.00,709.00,5.7,14.00,369.64,
