Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,BAL,16,16,436.00,672.00,64.9,4317.00,6.4,20.00,15.00,83.54,21.00,58.00,2.8,2.00,242.48,
2015,BAL,10,10,266.00,413.00,64.4,2791.00,6.8,14.00,12.00,83.11,13.00,23.00,1.8,3.00,161.94,
2014,BAL,16,16,344.00,555.00,62.0,3986.00,7.2,27.00,12.00,90.87,39.00,70.00,1.8,2.00,262.44,
2013,BAL,16,16,362.00,614.00,59.0,3912.00,6.4,19.00,22.00,73.15,27.00,131.00,4.9,1.00,207.58,
2012,BAL,16,16,317.00,531.00,59.7,3817.00,7.2,22.00,10.00,87.75,32.00,22.00,0.7,3.00,234.88,
2011,BAL,16,16,312.00,542.00,57.6,3610.00,6.7,20.00,12.00,80.88,40.00,90.00,2.2,1.00,202.60,
2010,BAL,16,16,306.00,489.00,62.6,3622.00,7.4,25.00,10.00,93.61,43.00,84.00,2.0,1.00,231.28,
2009,BAL,16,16,315.00,499.00,63.1,3613.00,7.2,21.00,12.00,88.87,35.00,56.00,1.6,0.00,206.12,
2008,BAL,16,16,257.00,428.00,60.0,2971.00,6.9,14.00,12.00,80.27,52.00,180.00,3.5,2.00,183.14,
